symbol
BTC
ETH
XRP
BCH
LTC
EOS
ADA
NEO
XLM
MIOTA
XMR
DASH
XEM
TRX
USDT
ETC
VEN
QTUM
ICX
LSK
OMG
NANO
BTG
BNB
ZEC
DGD
PPT
STEEM
STRAT
WAVES
BCN
XVG
MKR
SC
BTS
RHOC
DOGE
AE
SNT
REP
DCR
AION
BTM
WTC
ONT
KMD
ZIL
ARDR
ZRX
HSR
