time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2017-08-20T22:00:00.0000000Z,2017-08-20T23:00:00.0000000Z,2017-08-20T22:24:06.0000000Z,2017-08-20T22:57:53.0000000Z,293.13,294.06,292.33,294.06,30.02632953,28
2017-08-20T23:00:00.0000000Z,2017-08-21T00:00:00.0000000Z,2017-08-20T23:08:10.0000000Z,2017-08-20T23:59:35.0000000Z,294.05,298.6,292.3,298.4,259.67644636,174
2017-08-21T00:00:00.0000000Z,2017-08-21T01:00:00.0000000Z,2017-08-21T00:04:06.0000000Z,2017-08-21T00:59:44.0000000Z,297.26,298.39,294.65,296.75,122.15638529,44
2017-08-21T01:00:00.0000000Z,2017-08-21T02:00:00.0000000Z,2017-08-21T01:00:56.0000000Z,2017-08-21T01:58:37.0000000Z,296.75,297.24,292.71,295.02,92.77042798,85
2017-08-21T02:00:00.0000000Z,2017-08-21T03:00:00.0000000Z,2017-08-21T02:01:00.0000000Z,2017-08-21T02:59:30.0000000Z,294.68,296.4,293.78,296.09,18.78191568,20
2017-08-21T03:00:00.0000000Z,2017-08-21T04:00:00.0000000Z,2017-08-21T03:00:27.0000000Z,2017-08-21T03:59:54.0000000Z,296.0,298.1,294.03,298.1,61.34438205,46
2017-08-21T04:00:00.0000000Z,2017-08-21T05:00:00.0000000Z,2017-08-21T04:00:06.0000000Z,2017-08-21T04:59:58.0000000Z,297.6,300.5,297.36,300.5,420.752708999,177
2017-08-21T05:00:00.0000000Z,2017-08-21T06:00:00.0000000Z,2017-08-21T05:00:21.0000000Z,2017-08-21T05:59:50.0000000Z,300.5,314.4,300.49,314.4,1179.319171628,632
2017-08-21T06:00:00.0000000Z,2017-08-21T07:00:00.0000000Z,2017-08-21T06:00:01.0000000Z,2017-08-21T06:56:43.0000000Z,313.51,329.91,312.55,320.5,1614.157008959,866
2017-08-21T07:00:00.0000000Z,2017-08-21T08:00:00.0000000Z,2017-08-21T07:00:12.0000000Z,2017-08-21T07:59:04.0000000Z,317.03,328.27,315.0,325.08,2688.57422814,1024
